target,bit_i,bit_j,bit_i_index,bit_j_index,mean_00,mean_01,mean_10,mean_11,count_00,count_01,count_10,count_11,synergy_11_minus_additive,abs_synergy,best_state,best_state_mean
score_sa,bit_101,bit_125,101,125,0.11388184605508411,0.11264162213348407,0.1242109702118592,0.11207522863057795,2782,4911,21783,524,-0.010895517659681206,0.010895517659681206,10,0.1242109702118592
score_sa,bit_97,bit_66,97,66,0.12091160851434167,0.12494028826208385,0.11271957218911868,0.10593989988712907,4589,17623,7769,19,-0.01080835204973181,0.01080835204973181,01,0.12494028826208385
score_sa,bit_0,bit_24,0,24,0.12434375778340277,0.11244673375183152,0.11383948369070644,0.11252086209664476,21498,1409,3585,3508,0.010578402437509571,0.010578402437509571,00,0.12434375778340277
score_sa,bit_100,bit_24,100,24,0.11384883779659477,0.11249885536674098,0.12433878224703832,0.11250154510429106,3578,3519,21505,1398,-0.010487254712893468,0.010487254712893468,10,0.12433878224703832
score_sa,bit_118,bit_66,118,66,0.12757953731237642,0.12495324652353067,0.11336026029000558,0.1211736501929611,2087,17486,10271,156,0.010439680691801276,0.010439680691801276,00,0.12757953731237642
score_sa,bit_125,bit_15,125,15,0.12367337773644747,0.11586952635671921,0.11048460165456542,0.11293298736431474,22575,1990,768,4667,0.01025223708947759,0.01025223708947759,00,0.12367337773644747
score_sa,bit_101,bit_24,101,24,0.11400494384396331,0.11250787280188174,0.12403937630155437,0.11232000948941821,2992,4701,22091,216,-0.010222295770054582,0.010222295770054582,10,0.12403937630155437
score_sa,bit_97,bit_17,97,17,0.1148095898512048,0.12441097805910106,0.11274303050766775,0.11242386333697305,701,21511,6812,976,-0.009920555378590962,0.009920555378590962,01,0.12441097805910106
score_sa,bit_97,bit_24,97,24,0.12426128205777276,0.11368511574649577,0.1131153114983181,0.11241654511882238,21890,322,3193,4595,0.009877399931781258,0.009877399931781258,00,0.12426128205777276
score_sa,bit_12,bit_101,12,101,0.11516808011228286,0.12480240660475912,0.11284929010923561,0.11266565911561574,799,20696,6894,1611,-0.009817957486096138,0.009817957486096138,01,0.12480240660475912
score_sa,bit_17,bit_125,17,125,0.11375215106971227,0.11256130355848491,0.12402984086444657,0.11305162376759992,2363,5150,22202,285,-0.009787369585619293,0.009787369585619293,10,0.12402984086444657
score_sa,bit_5,bit_24,5,24,0.12390420210139591,0.11427195121576815,0.1116028406923713,0.11123763643980313,22918,2045,2165,2872,0.009267046633059592,0.009267046633059592,00,0.12390420210139591
score_sa,bit_7,bit_56,7,56,0.11499920042830013,0.11185360104558896,0.12507948818858328,0.13109339936195122,5546,4903,19088,463,0.009159510556079109,0.009159510556079109,11,0.13109339936195122
score_sa,bit_12,bit_56,12,56,0.1243004245878955,0.131328325917429,0.11404230131905281,0.11192244953865961,21055,440,3579,4926,-0.009147753109926687,0.009147753109926687,01,0.131328325917429
score_sa,bit_118,bit_24,118,24,0.12524336866564884,0.11427160136797257,0.11434923654160858,0.11249310946453092,19555,18,5528,4899,0.009115640220598603,0.009115640220598603,00,0.12524336866564884
score_sa,bit_7,bit_23,7,23,0.11205392455119761,0.11533433349701201,0.13091192415301683,0.12508205754221233,5769,4680,469,19082,-0.009110275556618905,0.009110275556618905,10,0.13091192415301683
score_sa,bit_118,bit_56,118,56,0.1250912987533649,0.13109339936195122,0.11491819640518224,0.11185360104558896,19110,463,5524,4903,-0.009066695968179606,0.009066695968179606,01,0.13109339936195122
