target,bit_index,bit,count0,count1,mean_if_0,mean_if_1,contribution_if_0,contribution_if_1,effect_1_minus_0,abs_effect,global_mean
score_sa,48,bit_48,19692,10308,0.12522678522535877,0.11335384471210433,0.004079542360354238,-0.0077933981529001994,-0.011872940513254437,0.011872940513254437,0.12114724286500453
score_sa,46,bit_46,19674,10326,0.1252329716614703,0.11336275435622402,0.004085728796465765,-0.00778448850878051,-0.011870217305246275,0.011870217305246275,0.12114724286500453
score_sa,63,bit_63,9878,20122,0.11326081190439731,0.12501873501433752,-0.007886430960607219,0.0038714921493329946,0.011757923109940213,0.011757923109940213,0.12114724286500453
score_sa,118,bit_118,19573,10427,0.12523327865331768,0.11347715765500614,0.004086035788313153,-0.007670085209998387,-0.01175612099831154,0.01175612099831154,0.12114724286500453
score_sa,5,bit_5,24963,5037,0.12311511613171644,0.11139460828947755,0.0019678732667119114,-0.009752634575526983,-0.011720507842238895,0.011720507842238895,0.12114724286500453
score_sa,7,bit_7,10449,19551,0.11352318609454254,0.12522190754683957,-0.00762405677046199,0.0040746646818350385,0.011698721452297028,0.011698721452297028,0.12114724286500453
score_sa,12,bit_12,21495,8505,0.12444428486167988,0.11281450709562932,0.003297041996675354,-0.00833273576937521,-0.011629777766050564,0.011629777766050564,0.12114724286500453
score_sa,97,bit_97,22212,7788,0.12410796288110111,0.11270303215653807,0.0029607200160965824,-0.00844421070846646,-0.011404930724563042,0.011404930724563042,0.12114724286500453
score_sa,17,bit_17,7513,22487,0.11293585069931152,0.12389070305715343,-0.008211392165693013,0.002743460192148897,0.01095485235784191,0.01095485235784191,0.12114724286500453
score_sa,101,bit_101,7693,22307,0.11309012115205827,0.12392589697975308,-0.008057121712946258,0.0027786541147485494,0.010835775827694807,0.010835775827694807,0.12114724286500453
score_sa,125,bit_125,24565,5435,0.12304119111948597,0.11258701492179637,0.0018939482544814423,-0.008560227943208154,-0.010454176197689596,0.010454176197689596,0.12114724286500453
score_sa,100,bit_100,7097,22903,0.1131794580346312,0.1236162368370239,-0.007967784830373331,0.0024689939720193704,0.010436778802392702,0.010436778802392702,0.12114724286500453
score_sa,0,bit_0,22907,7093,0.12361197680551464,0.11318733022222083,0.002464733940510111,-0.0079599126427837,-0.010424646583293812,0.010424646583293812,0.12114724286500453
score_sa,24,bit_24,25083,4917,0.12284242928911118,0.1124996201121335,0.0016951864241066539,-0.008647622752871023,-0.010342809176977677,0.010342809176977677,0.12114724286500453
score_sa,16,bit_16,10727,19273,0.11489154091231636,0.12462905238331959,-0.006255701952688167,0.00348180951831506,0.009737511471003227,0.009737511471003227,0.12114724286500453
score_sa,23,bit_23,6238,23762,0.11347175106823082,0.12316221289396988,-0.007675491796773709,0.002014970028965349,0.009690461825739058,0.009690461825739058,0.12114724286500453
